COUNTRY,GCAM_ID,simulated cap,actual_cap_2010,factor
Afghanistan,27,111.55,374,3.352756611
Albania,15,1399,1461,1.04431737
Algeria,3,24,275,11.45833333
Angola,4,1778.6,805,0.452603171
Argentina,31,7065,9072,1.284076433
Armenia,10,247,1162,4.704453441
Australia,6,2391,8033,3.359682141
Austria,13,2707.5,7913,2.922622345
Azerbaijan,10,420,995,2.369047619
Bangladesh,27,230,230,1
Belgium,13,5,118,23.6
Bolivia,26,60,488.21,8.136833333
Bosnia and Herzegovina,15,1204,2117,1.758305648
Brazil,7,58397,80703,1.381971677
Bulgaria,12,352,2184,6.204545455
Burkina Faso,5,30,32,1.066666667
Cameroon,5,513,719,1.401559454
Canada,8,47750.1,74901,1.568604045
Chile,26,777,5467,7.036036036
China,11,95328.5,199450,2.092238942
Colombia,32,4772,9257,1.939857502
Congo (DRC),5,204,2472,12.11764706
Costa Rica,9,257,1554.4,6.048249027
Croatia,15,234.5,1848,7.880597015
Cuba,9,3,62.5,20.83333333
Czech Republic,12,709.88,1049,1.477714543
Ecuador,26,210,2215,10.54761905
Egypt,3,2100,2800,1.333333333
El Salvador,9,419.4,472,1.125417263
Ethiopia,2,296,1870,6.317567568
Finland,13,1159,3155,2.722174288
France,13,5678,18087,3.185452624
French Guiana,25,116,115,0.99137931
Gabon,5,40,170,4.25
Georgia,10,1630.8,2662,1.632327692
Germany,13,421,4252,10.09976247
Ghana,5,1180,1180,1
Greece,13,3049.9,2516,0.82494508
Guatemala,9,300,853,2.843333333
Guinea,5,85.2,125,1.46713615
Honduras,9,300,526,1.753333333
Iceland,16,630,1883,2.988888889
India,17,14056.2,40610,2.889116546
Indonesia,18,1956,5078,2.596114519
Iran,21,9779,8488,0.867982411
Iraq,21,2319,2513,1.083656749
Ireland,13,51,237,4.647058824
Italy,13,1755,13976,7.963532764
Ivory Coast,5,599,604,1.008347245
Japan,19,2794.4,22362,8.002433438
Kazakhstan,10,1202,2360,1.963394343
Kenya,2,673.2,761,1.130421866
Kyrgyzstan,10,1200,2971,2.475833333
Laos,29,1435,2520,1.756097561
Latvia,12,666,1576,2.366366366
Lesotho,4,72,80,1.111111111
Liberia,5,64,0,0
Lithuania,12,100.8,116,1.150793651
Macedonia,15,401,555,1.3840399
Malaysia,29,3480.5,2115,0.607671312
Mali,5,251,157,0.625498008
Mexico,20,8953,11626,1.298559142
Moldova,14,48,64,1.333333333
Montenegro,15,360,658,1.827777778
Morocco,3,1033.3,1306,1.263911739
Mozambique,4,2130.4,2179,1.022812617
Nepal,27,60,664,11.06666667
New Zealand,6,4714,5254,1.114552397
Nigeria,5,1900,1938,1.02
Norway,16,2907,28367,9.758169935
Pakistan,22,4902,6745,1.375968992
Panama,9,560,936,1.671428571
Papua New Guinea,29,77,238,3.090909091
Paraguay,26,17200,8810,0.512209302
Philippines,29,1036,3400,3.281853282
Poland,12,349,560,1.604584527
Portugal,13,4260,4012,0.941784038
Romania,12,4691,6382,1.36047751
Russia,23,41455.3,47430,1.144123912
Serbia,15,606,2221,3.665016502
Slovakia,12,332.31,1600,4.814781379
Slovenia,12,150,1074,7.16
South Africa,24,600,661,1.101666667
South Korea,28,1359.6,1625,1.195204472
Spain,13,4569,13275,2.90544977
Sri Lanka,27,533,1391,2.609756098
Sudan,2,295,1550,5.254237288
Swaziland,4,19,60,3.157894737
Sweden,13,5061,16624,3.284726339
Switzerland,16,6270,11884,1.895374801
Syria,21,800,850,1.0625
Tajikistan,10,3126,4730,1.513115803
Tanzania,4,288,562,1.951388889
Thailand,29,3340,3488,1.044311377
Togo,5,64,67,1.046875
Tunisia,3,47.025,62,1.318447634
Turkey,15,10149,15831,1.559858114
Uganda,2,180,409,2.272222222
Ukraine,14,4430,5458,1.232054176
United Kingdom,13,270.9,1637,6.042820229
United States,1,46547.6,78825,1.693427803
Uruguay,26,593,1538,2.593591906
Uzbekistan,10,620.5,1750,2.820306205
Venezuela,25,15950,14622,0.916739812
Vietnam,29,2340,8610,3.679487179
Zambia,4,1020,1839,1.802941176
Zimbabwe,4,1319,758,0.574677786
